kind,k_true,sep,field_sigma,trend_amp,noise_sigma,cell_idx,realiz,truth_k,method,k_hat
trend,,,,1.5,,3,9,1,decluster_dip,1
trend,,,,1.5,,3,9,1,ess_dip,1
trend,,,,1.5,,3,9,1,ess_dip_detrend,1
trend,,,,1.5,,3,9,1,ess_dip_adaptive,1
trend,,,,1.5,,3,9,1,ess_dip_local,1
trend,,,,1.5,,3,5,1,classical_gap,6
trend,,,,1.5,,3,5,1,silhouette,2
trend,,,,1.5,,3,5,1,calinski_harabasz,3
trend,,,,1.5,,3,5,1,davies_bouldin,4
trend,,,,1.5,,3,5,1,decluster_dip,1
trend,,,,1.5,,3,5,1,ess_dip,1
trend,,,,1.5,,3,5,1,ess_dip_detrend,1
trend,,,,1.5,,3,5,1,ess_dip_adaptive,1
trend,,,,1.5,,3,5,1,ess_dip_local,1
trend,,,,1.5,,3,11,1,classical_gap,8
trend,,,,1.5,,3,11,1,silhouette,2
trend,,,,1.5,,3,11,1,calinski_harabasz,3
trend,,,,1.5,,3,11,1,davies_bouldin,5
trend,,,,1.5,,3,11,1,decluster_dip,1
trend,,,,1.5,,3,11,1,ess_dip,1
trend,,,,1.5,,3,11,1,ess_dip_detrend,1
trend,,,,1.5,,3,11,1,ess_dip_adaptive,1
trend,,,,1.5,,3,11,1,ess_dip_local,1
trend,,,,1.5,,3,4,1,classical_gap,8
trend,,,,1.5,,3,4,1,silhouette,4
trend,,,,1.5,,3,4,1,calinski_harabasz,4
trend,,,,1.5,,3,4,1,davies_bouldin,4
trend,,,,1.5,,3,4,1,decluster_dip,1
trend,,,,1.5,,3,4,1,ess_dip,1
trend,,,,1.5,,3,4,1,ess_dip_detrend,1
trend,,,,1.5,,3,4,1,ess_dip_adaptive,1
trend,,,,1.5,,3,4,1,ess_dip_local,1
trend,,,,1.5,,3,8,1,classical_gap,8
trend,,,,1.5,,3,8,1,silhouette,2
trend,,,,1.5,,3,8,1,calinski_harabasz,3
trend,,,,1.5,,3,8,1,davies_bouldin,4
trend,,,,1.5,,3,8,1,decluster_dip,1
trend,,,,1.5,,3,8,1,ess_dip,1
trend,,,,1.5,,3,8,1,ess_dip_detrend,1
trend,,,,1.5,,3,8,1,ess_dip_adaptive,1
trend,,,,1.5,,3,8,1,ess_dip_local,1
trend,,,,1.5,,3,12,1,classical_gap,8
trend,,,,1.5,,3,12,1,silhouette,3
trend,,,,1.5,,3,12,1,calinski_harabasz,4
trend,,,,1.5,,3,12,1,davies_bouldin,6
trend,,,,1.5,,3,12,1,decluster_dip,1
trend,,,,1.5,,3,12,1,ess_dip,1
trend,,,,1.5,,3,12,1,ess_dip_detrend,1
trend,,,,1.5,,3,12,1,ess_dip_adaptive,1
trend,,,,1.5,,3,12,1,ess_dip_local,1
trend,,,,3.0,,4,3,1,classical_gap,8
trend,,,,3.0,,4,3,1,silhouette,2
trend,,,,3.0,,4,3,1,calinski_harabasz,8
trend,,,,3.0,,4,3,1,davies_bouldin,5
trend,,,,3.0,,4,3,1,decluster_dip,1
trend,,,,3.0,,4,3,1,ess_dip,1
trend,,,,3.0,,4,3,1,ess_dip_detrend,1
trend,,,,3.0,,4,3,1,ess_dip_adaptive,1
trend,,,,3.0,,4,3,1,ess_dip_local,1
trend,,,,3.0,,4,0,1,classical_gap,8
trend,,,,3.0,,4,0,1,silhouette,4
